,corp_code,corp_name,corp_eng_name,stock_code,modify_date
99435,01614509,루트,ROUTE Corporation, ,20240409
99436,01827167,지엔소프트,GNSOFT, ,20240429
99437,01833362,협신기계제작소,"HYUPSHIN MACHINE&SCALE MFG.CO.,LTD.", ,20240429
99438,00924144,에스티피,"STP Co., Ltd.", ,20240429
99439,01830091,맘모스식품,MAMMOTH FOOD INC., ,20240429
99440,01833423,한라에스앤에프,HALLA S&F, ,20240429
99441,01819186,비지아이에프아이브이인더스트리얼가스홀딩스,"BGIF IV Industrial Gas Holdings Co., Ltd.", ,20240429
99442,01833715,애드비,ADBI inc., ,20240429
99443,00405463,에이치디씨자산운용,"HDC Asset Management Co.,Ltd.", ,20240429
99444,01832150,한컴케어링크,"Hancomcarelink., Ltd", ,20240429
99445,01871663,해밀투자파트너스,HAMIL, ,20240927
99446,01871690,신한글로벌텀론제삼차,na, ,20240927
99447,01871609,지비컴퍼니,"GB COMPANY Co., Ltd.", ,20240927
99448,01869367,레몬자산관리대부,lemon investment, ,20240927
99449,01871964,석윤,seokyoon, ,20240930
99450,01872015,케이더블씨제일차,"KdoubleC 1st Co., Ltd.", ,20240930
99451,01872024,에이치와이스튜디오제일차,"HY Studio 1st Co., Ltd.", ,20240930
99452,01869826,케이원창원,"K1CHANGWON.CO.,LTD", ,20240930
99453,01871706,엔에스워크,NS work Inc, ,20240930
99454,01872060,엠캐피탈제십이차유동화전문유한회사,"M Capital the 12th Securitization Specialty Co., Ltd.", ,20240930
99455,01615340,리인베스트먼트,"REINVESTMENT Co.,Ltd", ,20240930
99456,01384361,라우드코퍼레이션,"STILL8 Co,. Ltd.", ,20240930
99457,01837155,에스엠오토모티브,"SMAUTOMOTIVE CO.,Ltd.", ,20240510
99458,01839065,에이스메탈,"ACEMETAL CO.,LTD", ,20240510
99459,01850703,별내새마을금고,Byeollae Korean Federation of Community Credit Cooperatives, ,20240610
99460,00265324,CJ ENM,"CJ ENM CO., Ltd.",035760,20250207
99461,00929361,리얼게인,"REALGAIN CO.,LTD.", ,20250207
99462,00530112,서우수력,SEO WOO HYDRECTRIC POWER CO., ,20250218
99463,01014657,비즈니스온커뮤니케이션,"BusinessOn Communication Co.,Ltd",138580,20250218
99464,01227677,키위플러스,KIWI PLUS, ,20250218
99465,01751138,카본엑스리사이클링(김천공장),"CARBONX RECYCLING CO.,LTD", ,20250218
99466,00417538,에너테크인터내셔널,"enertech international,inc", ,20250218
99467,00978109,에이엠피,FilmaxAMP Corporation, ,20250220
99468,00919319,피앤에스네트웍스,"PNS NETWORKS CO., LTD.", ,20250220
99469,01658831,오름테라퓨틱,"Orum Therapeutics, Inc.",475830,20250221
99470,00225308,신공항하이웨이,"NEW AIRPORT HIWAY CO., LTD.", ,20250224
99471,01676031,그린가스솔루션이앤씨,"GREENGAS SOLUTION E&C Co.,Ltd.", ,20250224
99472,01836721,리눅스데이타시스템,Linuxdatasystem, ,20240502
99473,01825877,에스와이피글로벌,SYPGLOBAL.corp, ,20240502
99474,01832600,에이치엔아이컴퍼니,HNICOMPANY CO.LTD, ,20240502
99475,01839250,성수오피스개발제일차,"Seongsu Office Development 1st Co., Ltd.", ,20240502
99476,01823657,농업회사법인홍보그린텍,"HONG BO GREEN TECH CO., LTD.", ,20240502
99477,01828412,해리아나,HERIANA, ,20240502
99478,01838826,이성,eseong, ,20240502
99479,00975351,화진,HWAJIN CO LTD, ,20240502
99480,01839320,케이에프엘이사공일,"KFL2401 Co., Ltd.", ,20240502
99481,01831911,멘티스,"MANTIZ Co.,Ltd", ,20240502
99482,01838747,만복,manbokco, ,20240502
99483,01677641,동명테크,DONG MYENG TECH INC., ,20240502
99484,01836059,티이에이엠,TEAM, ,20240502
99485,01827097,성창이엔지,SUNGCHANG ENG, ,20240502
99486,01829864,인시스(INSYS),INSYS, ,20240502
99487,01835768,에이스웍스코리아,ACEWORKS KOREA Inc., ,20240502
99488,01299966,에스앤케이인스티튜트,Easycerti Inc., ,20240823
99489,01862355,대우에너지,Daewoo Energy Co. Ltd, ,20240826
99490,01861028,주하,"Juha Co., Ltd.", ,20240826
99491,01792108,시엘에스,"CLS CO.,Ltd.", ,20240826
99492,00149044,조선일보사,"Chosun Iibo Co., Ltd.", ,20240826
99493,01863682,백년사랑,baekyun sarang.co.ltd, ,20240826
99494,01863707,강릉농산물도매시장,KANGNUNG'AGRICULTURAL PRODUCTS  WHOLESALE MARKET CO, ,20240826
